energy,dim,beta_m,ula_min,ula_min_std,diff_min,diff_min_std,min_ratio,ula_mean,ula_mean_std,diff_mean,diff_mean_std,mean_ratio
many_well,5,1.0,-7.996267,0.001877,-7.996867,0.000814,1.0,-7.7343,0.006646,-7.8603,0.009259,1.016
many_well,5,2.0,-7.9938,0.001375,-7.9979,0.000964,1.001,-7.735333,0.006616,-7.914733,0.00295,1.023
many_well,5,3.0,-7.990367,0.003731,-7.996733,0.000404,1.001,-7.7338,0.004757,-7.915233,0.001102,1.023
many_well,5,4.0,-7.992467,0.00655,-7.998133,0.000896,1.001,-7.734767,0.004285,-7.9002,0.003351,1.021
many_well,5,5.0,-7.992467,0.000651,-7.995533,0.00171,1.0,-7.735367,0.004424,-7.881633,0.005501,1.019
many_well,5,6.0,-7.989667,0.003868,-7.996667,0.000451,1.001,-7.735967,0.004842,-7.8612,0.006202,1.016
many_well,5,7.0,-7.991833,0.0065,-7.9961,0.000529,1.001,-7.737,0.004351,-7.840333,0.006513,1.013
many_well,5,8.0,-7.994833,0.002831,-7.995267,0.000551,1.0,-7.737233,0.004419,-7.818467,0.007323,1.01
many_well,5,9.0,-7.992467,0.00647,-7.9971,0.000656,1.001,-7.737933,0.00465,-7.796167,0.006668,1.008
many_well,10,0.1,-19.9399,0.005139,-8.296933,3.306469,0.416,-19.462967,0.003707,-2.6713,3.426089,0.137
many_well,10,0.25,-19.9548,0.013894,-6.481267,1.414185,0.325,-19.462433,0.000764,-2.2816,1.244509,0.117
many_well,10,0.5,-19.942267,0.003602,-18.387633,1.030272,0.922,-19.464767,0.003623,-14.256933,2.34742,0.732
many_well,10,1.0,-19.939833,0.018219,-19.932433,0.007939,1.0,-19.4694,0.004173,-18.881467,0.561115,0.97
many_well,10,2.0,-19.944133,0.004658,-19.979033,0.002103,1.002,-19.4658,0.003601,-19.801267,0.027462,1.017
many_well,10,3.0,-19.9334,0.005711,-19.980033,0.001401,1.002,-19.4684,0.002718,-19.804433,0.006479,1.017
many_well,10,4.0,-19.931767,0.00394,-19.967533,0.005829,1.002,-19.469267,0.001888,-19.761767,0.006937,1.015
many_well,10,5.0,-19.933667,0.005116,-19.963633,0.0076,1.002,-19.470967,0.003156,-19.710233,0.010719,1.012
many_well,10,6.0,-19.934833,0.007689,-19.953833,0.01613,1.001,-19.4713,0.003151,-19.6525,0.015815,1.009
many_well,10,7.0,-19.9321,0.006001,-19.958967,0.008769,1.001,-19.4732,0.00233,-19.5906,0.019933,1.006
many_well,10,8.0,-19.931167,0.012055,-19.9485,0.002066,1.001,-19.473667,0.003493,-19.526767,0.024257,1.003
many_well,10,9.0,-19.9388,0.009632,-19.9422,0.009231,1.0,-19.475,0.002706,-19.460967,0.028618,0.999
many_well,20,0.1,-39.724733,0.065837,16.683,2.41072,-0.42,-38.9281,0.000361,25.464733,2.31782,-0.654
many_well,20,0.25,-39.674533,0.021238,-4.512033,1.089003,0.114,-38.9166,0.005076,-1.024533,0.353846,0.026
many_well,20,0.5,-39.7283,0.036816,-13.8302,1.021367,0.348,-38.926933,0.007768,-6.173933,0.99399,0.159
many_well,20,1.0,-39.704167,0.01136,-29.008533,2.809265,0.731,-38.926633,0.018915,-18.079167,1.647358,0.464
many_well,20,2.0,-39.7508,0.028831,-37.0663,1.416965,0.932,-38.921533,0.004895,-26.2114,1.675842,0.673
many_well,20,3.0,-39.710467,0.029066,-37.023833,1.375461,0.932,-38.929733,0.00235,-25.193033,1.148773,0.647
many_well,20,4.0,-39.799633,0.041736,-36.1037,1.299726,0.907,-38.932867,0.004366,-23.892233,2.869533,0.614
many_well,20,5.0,-39.7822,0.008888,-37.376233,0.897502,0.94,-38.931367,0.002219,-22.009267,1.77039,0.565
many_well,20,6.0,-39.769067,0.011369,-36.153833,0.369184,0.909,-38.935033,0.003055,-20.116133,0.780922,0.517
many_well,20,7.0,-39.777067,0.018237,-35.9879,0.61988,0.905,-38.936067,0.003099,-20.903167,1.448874,0.537
many_well,20,8.0,-39.7803,0.022642,-34.892733,1.751859,0.877,-38.9384,0.00336,-13.602333,0.965275,0.349
many_well,20,9.0,-39.792267,0.024979,-33.4143,1.456706,0.84,-38.939467,0.003371,-13.5436,4.757832,0.348
