dim,beta_h,metric,threshold,c_direct,c_setup,c_use,r_star,beta_m,n_train,n_samples,local_steps,metric_val
10,20.0,mean_energy,1.0,393216,20480000,0,53,20.0,2048,8192,0,0.46
10,20.0,mean_energy,2.0,393216,20480000,0,53,20.0,2048,8192,0,0.46
10,20.0,mean_energy,5.0,393216,20480000,0,53,5.0,2048,8192,0,3.7175
10,20.0,mean_energy,10.0,393216,20480000,0,53,5.0,2048,8192,0,3.7175
10,50.0,mean_energy,0.27993,393216,20480000,81920,66,20.0,2048,8192,10,0.2799
10,50.0,mean_energy,0.28003,393216,20480000,81920,66,20.0,2048,8192,10,0.2799
10,50.0,mean_energy,0.28027,393216,20480000,81920,66,20.0,2048,8192,10,0.2799
10,50.0,mean_energy,0.28083,393216,20480000,81920,66,20.0,2048,8192,10,0.2799
10,50.0,mean_energy,0.5,393216,20480000,0,53,20.0,2048,8192,0,0.46
10,50.0,mean_energy,1.0,393216,20480000,0,53,20.0,2048,8192,0,0.46
10,50.0,mean_energy,2.0,393216,20480000,0,53,20.0,2048,8192,0,0.46
10,50.0,mean_energy,5.0,393216,20480000,0,53,5.0,2048,8192,0,3.7175
10,50.0,mean_energy,10.0,393216,20480000,0,53,5.0,2048,8192,0,3.7175
20,20.0,mean_energy,0.8041,84934656,20480000,0,1,20.0,2048,8192,0,0.7818
20,20.0,mean_energy,0.80557,21495808,20480000,0,1,20.0,2048,8192,0,0.7818
20,20.0,mean_energy,0.8301,5505024,20480000,0,4,20.0,2048,8192,0,0.7818
20,20.0,mean_energy,0.86067,1441792,20480000,0,15,20.0,2048,8192,0,0.7818
20,20.0,mean_energy,1.0,1441792,20480000,0,15,20.0,2048,8192,0,0.7818
20,20.0,mean_energy,1.884,393216,20480000,0,53,20.0,2048,8192,0,0.7818
20,20.0,mean_energy,2.0,393216,20480000,0,53,20.0,2048,8192,0,0.7818
20,20.0,mean_energy,5.0,393216,20480000,0,53,20.0,2048,8192,0,0.7818
20,20.0,mean_energy,10.0,393216,20480000,0,53,5.0,2048,8192,0,6.2486
20,50.0,mean_energy,0.37187,1441792,20480000,81920,16,20.0,2048,8192,10,0.3717
20,50.0,mean_energy,0.37233,1441792,20480000,81920,16,20.0,2048,8192,10,0.3717
20,50.0,mean_energy,0.4399,393216,20480000,81920,66,20.0,2048,8192,10,0.3717
20,50.0,mean_energy,0.5,393216,20480000,81920,66,20.0,2048,8192,10,0.3717
20,50.0,mean_energy,1.0,393216,20480000,0,53,20.0,2048,8192,0,0.7818
20,50.0,mean_energy,2.0,393216,20480000,0,53,20.0,2048,8192,0,0.7818
20,50.0,mean_energy,5.0,393216,20480000,0,53,20.0,2048,8192,0,0.7818
20,50.0,mean_energy,10.0,393216,20480000,0,53,5.0,2048,8192,0,6.2486
